emp_id,department,salary,age,city,status,years_experience
41,Engineering,70772.91,38,Chennai,Active,23
42,Engineering,148733.93,36,Chennai,On Leave,12
43,Marketing,115268.85,23,Kochi,Inactive,14
44,Sales,61931.76,26,Delhi,Active,2
45,HR,58805.76,30,Bangalore,Inactive,4
46,Sales,65881.06,39,Delhi,Inactive,28
47,Support,125203.57,27,Delhi,Active,8
48,Support,94133.01,39,Delhi,Active,16
49,Engineering,57736.91,33,Bangalore,On Leave,9
50,Marketing,,39,Mumbai,Inactive,1
51,Engineering,48682.06,52,Chennai,Active,21
52,Support,129326.74,47,Bangalore,On Leave,6
53,HR,113340.68,30,Bangalore,Active,26
54,Sales,56949.23,32,Mumbai,On Leave,26
55,Sales,99847.3,40,,Active,5
56,Marketing,66115.77,57,Delhi,Active,30
57,,66916.6,27,Bangalore,On Leave,20
58,Engineering,58021.09,27,Chennai,On Leave,1
59,Engineering,35560.34,55,Kochi,Inactive,24
60,Sales,115519.47,31,Kochi,On Leave,13
61,Support,90469.66,54,Mumbai,On Leave,18
62,Sales,105361.22,27,Mumbai,Active,20
63,Finance,94815.91,23,,On Leave,7
64,Support,118533.17,54,Mumbai,On Leave,16
65,Engineering,34306.25,38,Delhi,Active,23
66,Sales,34592.48,40,Kochi,On Leave,20
67,Support,106441.8,41,Kochi,Active,0
68,Finance,37439.88,35,Chennai,Inactive,22
69,Engineering,39812.86,57,Bangalore,Active,29
70,Marketing,88327.31,50,Chennai,Active,29
71,Marketing,42717.58,55,Bangalore,Active,19
72,HR,112917.13,36,Chennai,Inactive,0
73,HR,75677.42,31,Bangalore,Inactive,10
74,Sales,67284.08,47,Delhi,On Leave,0
75,Marketing,,26,Chennai,Inactive,27
76,Engineering,60702.9,31,Bangalore,Inactive,16
77,Finance,78468.45,23,Chennai,On Leave,17
78,Finance,76360.75,30,Bangalore,Inactive,1
79,Marketing,76858.33,40,Bangalore,On Leave,23
80,Finance,62604.54,57,Chennai,Active,5
81,Engineering,126478.32,57,Chennai,Inactive,24
82,Support,36339.31,43,Mumbai,Inactive,7
83,HR,27510.22,48,Chennai,On Leave,16
84,Marketing,87268.24,58,Delhi,On Leave,16
85,HR,36574.77,37,Chennai,On Leave,14
86,Sales,146005.05,30,Chennai,On Leave,24
87,Support,25022.34,47,Chennai,Inactive,7
88,Finance,146485.94,28,,Active,17
89,Finance,96172.79,24,Bangalore,Active,20
90,Marketing,39016.59,26,Kochi,On Leave,6
91,HR,26307.7,41,Bangalore,Inactive,20
92,HR,93375.28,23,Bangalore,Active,0
93,Finance,35136.51,36,Chennai,Inactive,7
94,Engineering,70289.99,47,Mumbai,Inactive,23
95,Engineering,50051.73,34,Chennai,Active,8
96,Engineering,86970.59,33,Chennai,Inactive,29
97,Sales,74182.5,35,Kochi,Active,13
98,Finance,137270.93,42,Mumbai,Active,29
99,Sales,90599.7,51,Bangalore,On Leave,23
100,Sales,46157.62,22,Bangalore,Active,11
101,Marketing,,46,Bangalore,Inactive,2
102,Marketing,139938.3,34,Bangalore,On Leave,28
103,Sales,103176.04,47,Chennai,Active,14
104,Marketing,118410.85,43,Bangalore,Inactive,30
105,Marketing,111197.17,39,Mumbai,On Leave,24
106,Sales,33166.51,36,Chennai,On Leave,30
107,Engineering,139193.0,53,Chennai,Active,0
108,Marketing,121601.17,37,Bangalore,Inactive,11
109,Engineering,,32,Chennai,Active,20
110,Sales,147531.97,28,Bangalore,On Leave,2
111,Engineering,146514.58,33,Delhi,Inactive,14
112,Marketing,130873.38,29,Bangalore,Inactive,18
113,Engineering,79924.72,33,Delhi,Active,9
114,Support,74508.7,37,Kochi,Active,20
115,Engineering,37791.55,52,Chennai,Inactive,1
116,Sales,100061.66,34,Bangalore,On Leave,27
117,Sales,108094.45,22,Kochi,On Leave,19
118,Sales,30520.82,38,Kochi,On Leave,20
119,Engineering,76124.36,45,Kochi,Inactive,2
120,HR,32908.88,28,Kochi,Active,20
121,Finance,58895.86,40,Bangalore,Inactive,30
122,Marketing,76760.0,23,Delhi,Inactive,23
123,Sales,44570.86,29,Chennai,On Leave,28
124,Finance,31461.93,31,Chennai,Active,18
125,Engineering,43235.85,40,Kochi,Active,29
126,Marketing,124018.1,34,Delhi,Active,29
127,Finance,73486.9,32,Delhi,On Leave,12
128,HR,95678.41,24,Kochi,Active,12
129,Sales,126956.22,34,Kochi,On Leave,1
130,Finance,81966.69,41,Chennai,Inactive,18
131,Sales,87947.3,33,Mumbai,On Leave,15
132,HR,127371.28,33,Chennai,Active,2
133,Finance,80245.89,54,Mumbai,Active,20
134,Sales,115049.18,27,Kochi,Inactive,20
135,Engineering,149515.52,29,Delhi,Inactive,9
136,Sales,123547.69,36,Bangalore,On Leave,24
137,Engineering,138132.77,51,Bangalore,On Leave,30
138,Marketing,88250.87,42,Mumbai,Active,5
139,Engineering,65978.04,46,Bangalore,Active,24
140,Support,134119.01,57,Kochi,On Leave,28
141,Marketing,132074.92,45,Chennai,Inactive,18
142,Marketing,53755.91,25,Kochi,Inactive,9
143,Finance,107962.32,42,Mumbai,On Leave,1
144,Sales,77210.87,45,Delhi,Inactive,7
145,Sales,95890.15,41,Kochi,Inactive,17
146,Engineering,50523.05,52,Delhi,Active,29
147,Finance,32958.58,31,,Inactive,25
148,Support,95291.4,44,Kochi,Inactive,19
149,Sales,137937.93,24,Kochi,Active,12
150,Finance,38114.73,57,Delhi,Active,13
151,Support,105196.25,33,Bangalore,Active,9
152,Sales,84740.66,56,Chennai,Inactive,23
153,Marketing,46923.97,28,Delhi,On Leave,1
154,Finance,142856.33,38,Mumbai,Inactive,20
155,Marketing,90405.58,38,Delhi,Active,28
156,Engineering,130215.36,34,Bangalore,Active,28
157,HR,,56,,On Leave,22
158,Engineering,54228.56,41,Chennai,On Leave,18
159,Support,28362.82,28,Delhi,Inactive,4
160,Finance,105443.09,24,Mumbai,On Leave,1
161,Finance,127195.2,56,Mumbai,On Leave,30
162,Finance,29232.58,27,Bangalore,Inactive,3
163,HR,61807.42,43,Bangalore,Active,11
164,Support,71003.04,42,Kochi,Inactive,27
165,Sales,,55,Bangalore,Inactive,22
166,Marketing,128478.72,58,Delhi,Inactive,0
167,HR,31745.56,44,Mumbai,Inactive,22
168,Marketing,68398.21,54,Kochi,Active,9
169,HR,45723.88,27,Kochi,Active,20
170,HR,136480.22,27,Mumbai,Inactive,6
171,HR,46388.1,36,Delhi,On Leave,19
172,Support,68560.68,42,Delhi,Inactive,21
173,Support,111132.67,38,Delhi,Active,10
174,Finance,48946.72,41,Kochi,Active,23
175,Engineering,90272.34,32,Bangalore,Active,8
176,Engineering,145298.21,28,Chennai,Active,4
177,Marketing,,28,Delhi,Inactive,14
178,Finance,111679.92,54,Bangalore,Inactive,0
179,Finance,117618.22,49,Kochi,On Leave,23
180,Finance,106560.65,36,Delhi,On Leave,3
181,Engineering,37233.35,48,Chennai,On Leave,22
182,Support,81899.31,48,Delhi,On Leave,10
183,Marketing,146827.45,24,Kochi,Active,5
184,HR,68525.94,58,,Active,22
185,HR,71239.24,43,Chennai,Active,21
186,Finance,116138.31,44,Mumbai,Inactive,8
187,Support,139429.46,44,Bangalore,Active,7
188,HR,146437.64,47,Delhi,Active,4
189,Finance,49146.5,57,Delhi,Active,11
190,Support,76660.81,40,Delhi,Inactive,11
191,Finance,110931.44,49,Delhi,Inactive,0
192,HR,106800.34,42,Chennai,Inactive,19
193,Sales,141090.78,46,Mumbai,On Leave,28
194,Finance,68143.78,22,Mumbai,Active,30
195,Engineering,97310.89,36,Chennai,Inactive,25
196,Finance,45989.1,27,Kochi,On Leave,26
197,Finance,34826.88,50,Mumbai,On Leave,3
198,HR,86634.59,25,Chennai,Active,22
199,Engineering,132859.71,22,Bangalore,Inactive,22
200,Finance,71869.73,48,Mumbai,Active,20
201,Sales,30733.79,43,Kochi,Inactive,15
202,Marketing,76948.94,30,Mumbai,On Leave,11
203,HR,139041.52,40,Bangalore,Inactive,8
204,Marketing,128466.76,47,Kochi,Inactive,27
205,Engineering,123993.89,43,Bangalore,On Leave,9
206,Finance,149562.0,47,Kochi,Inactive,17
207,Support,30799.58,52,Mumbai,On Leave,29
208,Engineering,109212.54,27,Mumbai,On Leave,20
209,HR,47662.27,24,Mumbai,On Leave,0
210,Marketing,95262.68,38,Delhi,Inactive,1
211,HR,141732.32,25,Kochi,On Leave,1
212,HR,111964.02,47,Mumbai,Active,21
213,HR,147598.06,52,Kochi,Active,2
214,,26941.26,22,Mumbai,Active,6
215,HR,114918.88,37,Delhi,Active,11
216,Marketing,116215.22,27,Kochi,On Leave,15
217,Sales,145539.43,24,Mumbai,Active,28
218,HR,63882.82,32,Kochi,Active,10
219,Sales,109609.93,31,Bangalore,On Leave,5
220,Support,123280.28,39,Bangalore,Inactive,8
221,Support,128426.09,43,Mumbai,Active,19
222,Finance,55763.88,46,Chennai,On Leave,24
223,Marketing,25210.63,38,Chennai,Active,18
224,Support,61065.18,31,Delhi,Inactive,27
225,Sales,87496.99,56,Kochi,On Leave,15
226,Marketing,141465.34,36,Kochi,Active,21
227,HR,98298.54,22,Chennai,On Leave,2
228,Marketing,74773.32,55,Kochi,Inactive,15
229,Marketing,36523.54,40,Kochi,On Leave,11
230,Marketing,30574.31,53,Mumbai,Inactive,20
231,Support,,39,Kochi,Active,3
232,Engineering,85789.44,58,Bangalore,Inactive,13
233,Marketing,101090.35,30,Mumbai,Inactive,6
234,Finance,29351.26,45,Chennai,Inactive,30
235,Finance,104980.26,29,Mumbai,Inactive,10
236,Engineering,108715.19,47,Chennai,Active,11
237,Marketing,,38,Mumbai,On Leave,28
238,Sales,89166.78,52,Mumbai,Active,10
239,Finance,62349.09,50,Mumbai,Inactive,10
240,Engineering,,50,Delhi,On Leave,28
241,Sales,29501.57,36,Kochi,Inactive,28
242,Sales,140742.49,46,Mumbai,Inactive,10
243,Engineering,70754.01,43,Mumbai,Active,22
244,HR,43674.0,48,Delhi,Active,0
245,Sales,45974.73,53,Bangalore,Inactive,28
246,Support,103875.09,35,Chennai,Inactive,3
247,Engineering,148877.62,37,Mumbai,Inactive,9
248,Finance,147316.56,31,Mumbai,Inactive,25
249,Marketing,,55,Delhi,Inactive,13
250,Support,47585.81,33,Delhi,On Leave,5
251,Marketing,101069.47,53,Delhi,Active,4
252,Sales,97866.64,34,Mumbai,On Leave,23
253,Marketing,89807.4,44,Bangalore,On Leave,27
254,Finance,120372.58,30,Bangalore,Active,5
255,Support,112782.16,58,Mumbai,Inactive,16
256,Marketing,69589.78,37,Chennai,On Leave,24
257,Support,116368.24,50,,On Leave,25
258,,52962.37,33,Mumbai,Inactive,8
259,Marketing,140788.96,34,Mumbai,On Leave,20
260,Finance,37858.07,28,Delhi,Active,8
261,Sales,59952.85,29,Chennai,Active,17
262,Engineering,96605.18,47,Mumbai,On Leave,12
263,Marketing,29525.91,25,Bangalore,Inactive,7
264,HR,95553.07,42,Kochi,Active,10
265,Finance,56160.56,49,Mumbai,Inactive,3
266,Engineering,88096.83,23,Delhi,Inactive,12
267,Sales,126158.57,24,Kochi,Inactive,29
268,Marketing,140547.96,28,Mumbai,On Leave,0
269,Sales,63176.47,32,Mumbai,On Leave,30
270,Engineering,83302.16,56,Chennai,Active,16
271,Finance,61038.39,37,Mumbai,On Leave,17
272,Engineering,52702.01,46,Kochi,On Leave,11
273,Sales,83620.7,41,Delhi,Inactive,7
274,Engineering,74556.8,44,Delhi,Inactive,17
275,Sales,52017.63,25,Delhi,On Leave,2
276,Marketing,89624.45,50,Mumbai,On Leave,7
277,Engineering,77093.97,44,Delhi,On Leave,19
278,Marketing,117345.83,52,Delhi,Inactive,27
279,Support,39680.97,47,Delhi,Inactive,27
280,Finance,72445.29,50,Chennai,Inactive,23
281,Sales,99427.56,42,Chennai,Inactive,14
282,Support,79455.73,46,Delhi,Active,26
283,Engineering,,42,Chennai,Active,0
284,Support,140038.98,41,Kochi,Inactive,16
285,Support,,24,Bangalore,Inactive,30
286,HR,76189.89,54,Kochi,On Leave,4
287,Finance,80020.42,43,Kochi,On Leave,26
288,Support,34385.91,41,Delhi,Active,20
289,Finance,148781.07,48,Delhi,On Leave,9
290,Finance,76532.45,25,Kochi,On Leave,3
291,Sales,30289.21,48,,Inactive,22
292,Finance,130269.74,22,Mumbai,Active,5
293,Support,105851.42,56,Delhi,On Leave,6
294,Sales,119936.99,28,Mumbai,Active,5
295,Finance,78827.66,25,Mumbai,On Leave,24
296,Marketing,59430.97,24,Mumbai,On Leave,2
297,Support,31834.86,47,Mumbai,Inactive,1
298,Marketing,141352.9,33,Mumbai,Inactive,9
299,Engineering,147442.68,26,Chennai,On Leave,22
300,Engineering,113971.77,23,Mumbai,Active,5
301,Marketing,61337.58,57,Mumbai,Inactive,17
302,Marketing,145153.58,49,Kochi,Active,12
303,Marketing,29364.48,23,Delhi,Active,22
304,HR,123432.71,57,Chennai,Active,5
305,Marketing,103667.97,35,Chennai,On Leave,6
306,Support,113309.15,38,Chennai,On Leave,11
307,Finance,40689.58,29,Kochi,Active,17
308,Engineering,28589.6,58,Bangalore,Active,12
309,Finance,53945.59,34,Mumbai,Active,17
310,Sales,49103.04,41,Delhi,Inactive,4
311,Finance,,51,Delhi,Inactive,5
312,Sales,68928.63,48,Chennai,Active,27
313,Support,,39,Delhi,On Leave,21
314,Engineering,49760.96,41,Chennai,On Leave,1
315,Support,95568.73,36,Chennai,On Leave,16
316,Sales,68629.89,22,Bangalore,Active,28
317,Sales,55557.13,29,Bangalore,Active,24
318,Finance,111834.63,47,Kochi,Active,8
319,Finance,80319.64,43,Kochi,On Leave,22
320,HR,31787.58,35,Kochi,Active,15
321,Engineering,125716.69,38,Kochi,Active,24
322,Marketing,32422.89,44,Chennai,Active,6
323,Engineering,85805.41,52,Delhi,Active,16
324,Finance,112256.24,30,Delhi,On Leave,18
325,Finance,78079.4,32,Delhi,On Leave,14
326,Marketing,111266.32,22,Chennai,Active,1
327,Sales,112702.98,50,Delhi,Inactive,14
328,HR,33977.29,22,Chennai,Active,23
329,HR,38600.31,53,,Active,25
330,Finance,105563.34,38,,Active,4
331,Engineering,43142.16,45,Kochi,On Leave,5
332,Engineering,102099.39,46,Bangalore,Inactive,7
333,Sales,128924.1,37,Mumbai,Active,18
334,Engineering,75402.79,25,Chennai,Inactive,15
335,Finance,103311.77,31,Delhi,Active,4
336,HR,29992.89,50,Delhi,Active,23
337,HR,129192.25,54,Delhi,Inactive,2
338,Sales,67333.57,50,,On Leave,5
339,Engineering,109407.68,58,Chennai,Active,17
340,HR,138588.32,31,Kochi,On Leave,2
341,Support,101143.58,41,Kochi,Inactive,30
342,Finance,133157.83,55,Mumbai,Active,7
343,Support,107560.27,45,Kochi,Inactive,11
344,Engineering,39281.7,33,Kochi,On Leave,3
345,Finance,48442.51,38,Chennai,Active,17
346,Sales,116948.34,58,Chennai,On Leave,2
347,Finance,88404.36,29,Kochi,Active,14
348,HR,145004.16,58,Mumbai,Active,11
349,Finance,71543.36,22,Kochi,Active,14
350,Support,136078.43,34,Mumbai,On Leave,27
351,Marketing,125513.73,22,Mumbai,Active,11
352,Sales,86123.5,44,Bangalore,On Leave,10
353,Marketing,,38,Delhi,On Leave,14
354,Sales,123897.23,53,Mumbai,Inactive,5
355,Support,108695.7,31,Bangalore,On Leave,22
356,HR,,31,Kochi,Inactive,27
357,HR,102552.63,47,Delhi,On Leave,27
358,Marketing,89624.67,45,Kochi,Active,9
359,Finance,46215.98,45,Chennai,Inactive,18
360,Marketing,66938.14,52,Delhi,Active,7
361,Marketing,43228.58,31,Chennai,Inactive,2
362,Finance,91018.56,30,Mumbai,On Leave,28
363,Marketing,104137.73,28,Bangalore,Active,27
364,Finance,145369.66,43,Bangalore,On Leave,27
365,Finance,75745.31,25,Bangalore,On Leave,10
366,Marketing,,37,Delhi,Active,6
367,Marketing,80689.79,58,Delhi,On Leave,2
368,Sales,96487.32,43,Delhi,On Leave,29
369,Finance,148432.78,44,Chennai,On Leave,27
370,Support,46904.13,38,Mumbai,Active,20
371,Support,74946.7,34,Bangalore,On Leave,20
372,Sales,41126.79,25,,On Leave,10
373,Finance,105310.7,22,Bangalore,Active,6
374,Engineering,,43,Mumbai,Inactive,25
375,Marketing,86794.99,47,Chennai,Active,0
376,Engineering,32002.19,43,Mumbai,Active,4
377,HR,69730.59,45,Bangalore,On Leave,21
378,Engineering,100196.14,43,Kochi,Inactive,26
379,Finance,63656.59,57,Chennai,On Leave,8
380,HR,56614.43,57,Mumbai,On Leave,25
381,Sales,53520.96,27,Kochi,Active,3
382,Finance,47727.42,45,Delhi,Active,27
383,HR,28630.37,37,Chennai,Active,20
384,Sales,51511.57,23,Mumbai,Active,25
385,HR,32498.19,58,Chennai,Inactive,30
386,Engineering,27595.65,49,Delhi,Inactive,6
387,Engineering,134927.53,53,Kochi,Active,15
388,Marketing,118942.44,41,Mumbai,Inactive,0
389,Engineering,110346.67,50,Kochi,Active,28
390,Engineering,30773.65,50,,Active,29
391,Engineering,146792.05,22,Bangalore,Active,16
392,HR,110346.2,27,Bangalore,On Leave,29
393,Engineering,136872.03,37,Mumbai,Active,4
394,Sales,38108.54,23,Bangalore,Active,28
395,Engineering,90676.97,22,Delhi,On Leave,17
396,HR,39045.39,44,Mumbai,Inactive,6
397,Sales,34048.53,33,Bangalore,Inactive,2
398,Marketing,,45,Mumbai,Inactive,22
399,Finance,66344.09,48,Bangalore,Inactive,13
400,HR,73384.7,46,Delhi,On Leave,0
401,Engineering,111708.15,46,Delhi,On Leave,3
402,Finance,114551.37,47,Kochi,Inactive,21
403,HR,146451.63,22,Chennai,On Leave,10
404,Marketing,103689.19,46,Mumbai,Inactive,16
405,Finance,33999.39,56,Delhi,On Leave,24
406,Support,115195.17,55,Chennai,On Leave,7
407,Support,70511.9,35,Delhi,Inactive,7
408,Marketing,47214.19,24,Chennai,Inactive,26
409,Sales,112827.72,46,Bangalore,Inactive,21
410,Marketing,36000.03,47,Chennai,On Leave,3
411,Sales,119850.35,31,Delhi,Inactive,15
412,Marketing,,46,Mumbai,On Leave,6
413,Marketing,63317.48,56,Bangalore,Inactive,7
414,Engineering,86673.91,27,Delhi,Inactive,30
415,HR,30487.52,50,Bangalore,Active,22
416,Marketing,100929.94,38,Delhi,Inactive,27
417,Sales,146422.04,45,Delhi,Inactive,27
418,Finance,90726.88,53,Mumbai,Active,18
419,Engineering,79515.04,52,Mumbai,Inactive,12
420,HR,108797.56,34,Kochi,Active,29
421,Sales,121234.78,29,Delhi,Active,18
422,HR,119163.96,58,Mumbai,On Leave,6
423,Support,111376.86,48,Delhi,Inactive,26
424,Engineering,48781.3,22,Kochi,Inactive,16
425,HR,132359.79,57,Kochi,Inactive,21
426,Marketing,125246.51,56,Bangalore,Active,4
427,Finance,83028.07,53,Kochi,Active,11
428,Finance,113364.65,25,Bangalore,Active,17
429,HR,29414.28,36,Bangalore,Active,22
430,Engineering,75750.59,50,Delhi,Active,5
431,Support,132828.8,26,Chennai,Active,0
432,Engineering,87277.12,40,Kochi,Active,4
433,Sales,83207.9,34,Mumbai,Inactive,7
434,Sales,110739.1,31,Delhi,Active,5
435,Finance,97757.01,42,Kochi,On Leave,4
436,HR,51822.53,36,Mumbai,Inactive,12
437,HR,111774.05,34,Delhi,On Leave,5
438,Finance,128561.86,29,Delhi,On Leave,30
439,Sales,27221.5,53,Delhi,Inactive,8
440,HR,36054.25,30,Bangalore,Active,18
441,Engineering,145919.32,44,Delhi,On Leave,9
442,Engineering,55924.55,45,Mumbai,Inactive,25
443,Support,,32,Chennai,Inactive,1
444,HR,105851.37,30,Kochi,Inactive,2
445,Marketing,46212.19,27,Mumbai,On Leave,27
446,Sales,38316.93,37,Delhi,Inactive,8
447,Sales,45503.35,56,Kochi,Inactive,11
448,Finance,148504.81,37,,On Leave,7
449,Engineering,86050.13,58,Delhi,Active,24
450,Sales,78000.35,55,Bangalore,On Leave,28
451,Finance,55444.96,54,Mumbai,Active,2
452,Marketing,102281.04,33,Bangalore,Active,25
453,HR,64684.78,48,Mumbai,Active,25
454,Engineering,43904.31,44,Delhi,Active,29
455,Sales,149661.73,52,Chennai,On Leave,24
456,Marketing,32830.2,25,Chennai,Active,20
457,Engineering,145718.71,53,Bangalore,On Leave,29
458,HR,123561.95,32,Chennai,On Leave,25
459,Sales,99199.35,29,Bangalore,Active,7
460,HR,86577.59,25,Chennai,On Leave,21
461,Finance,143514.57,36,Bangalore,On Leave,19
462,Sales,62558.77,23,Chennai,Inactive,13
463,HR,51707.12,44,Chennai,On Leave,1
464,HR,112647.09,50,Kochi,Active,3
465,Marketing,137064.8,46,Bangalore,Active,11
466,Marketing,135245.1,47,Chennai,Inactive,30
467,HR,132093.06,32,Kochi,Active,0
468,Finance,95657.48,38,Bangalore,On Leave,3
469,Marketing,108263.64,30,Chennai,Active,16
470,,70227.68,46,Mumbai,On Leave,15
471,Support,134402.15,29,Chennai,Inactive,9
472,Marketing,118727.14,24,Chennai,Active,0
473,Support,98443.51,58,Mumbai,Inactive,5
474,Support,120306.52,40,Mumbai,Inactive,17
475,HR,109562.15,46,Bangalore,On Leave,28
476,Marketing,128234.39,56,Delhi,Active,16
477,Sales,90064.14,41,Kochi,Inactive,12
478,Engineering,59043.69,52,Kochi,Inactive,29
479,HR,74246.38,46,Bangalore,Active,6
480,Marketing,76031.99,32,Mumbai,Active,8
481,Marketing,108825.62,26,Chennai,Inactive,22
482,HR,103774.34,38,Mumbai,Active,17
483,Engineering,142490.32,38,Mumbai,On Leave,3
484,Marketing,125970.22,29,Delhi,On Leave,5
485,Finance,121826.24,47,Bangalore,Inactive,12
486,Support,114020.21,31,Kochi,Inactive,21
487,Sales,110238.2,48,Kochi,Active,27
488,Finance,51742.12,39,Delhi,Active,7
489,Finance,137292.11,24,Chennai,Inactive,4
490,Support,137033.0,26,Kochi,On Leave,8
491,Sales,69967.71,58,Bangalore,Active,22
492,Finance,52299.04,51,Delhi,Inactive,8
493,Sales,99458.75,24,Kochi,Inactive,3
494,Support,145589.82,55,Delhi,Active,17
495,Finance,126091.03,56,Mumbai,Active,24
496,Finance,71800.99,39,Mumbai,On Leave,3
497,Marketing,53285.17,25,Kochi,Inactive,21
498,Finance,41717.91,51,Kochi,Inactive,6
499,Sales,60322.67,34,Kochi,Active,14
500,Support,121664.57,34,Bangalore,On Leave,25
501,Marketing,114939.06,26,Delhi,Inactive,0
502,Marketing,92217.02,57,Delhi,On Leave,20
503,HR,117420.73,44,Mumbai,On Leave,14
504,HR,70484.6,52,Mumbai,Inactive,25
505,Support,131246.09,55,Bangalore,On Leave,12
506,Support,138608.86,39,Chennai,On Leave,23
507,Sales,41728.71,22,,On Leave,18
508,HR,146647.18,27,Mumbai,Active,28
509,HR,67306.25,57,Chennai,On Leave,28
510,Sales,72826.36,28,Kochi,Active,30
511,Sales,104547.32,50,Kochi,On Leave,23
512,Finance,109111.97,37,Chennai,On Leave,28
513,Finance,99883.97,26,Delhi,Active,0
514,Engineering,,24,Mumbai,Active,25
515,Finance,142645.98,36,Mumbai,On Leave,20
516,Sales,83489.4,52,Mumbai,Active,4
517,Sales,38224.46,46,Mumbai,Active,17
518,Sales,101600.83,56,Mumbai,On Leave,17
519,Sales,94987.37,35,Delhi,On Leave,25
520,Sales,116943.28,49,Kochi,Active,17
521,Sales,54866.36,28,Bangalore,Inactive,9
522,Engineering,,43,Mumbai,Active,2
523,HR,51735.26,46,Chennai,On Leave,18
524,Sales,124569.04,23,Mumbai,On Leave,21
525,HR,31851.93,40,Bangalore,On Leave,4
526,Engineering,65551.83,28,Chennai,Active,30
527,Marketing,129602.96,42,Delhi,Active,13
528,Sales,69598.67,43,Delhi,Inactive,25
529,Finance,131424.78,49,Bangalore,Inactive,2
530,Engineering,91364.8,56,Chennai,On Leave,22
531,Finance,52257.5,22,Bangalore,Inactive,22
532,Finance,101783.69,32,Bangalore,Inactive,7
533,Support,133280.24,38,Kochi,Active,20
534,Support,34742.73,26,Mumbai,Active,11
535,Finance,106050.0,54,Bangalore,Inactive,5
536,HR,112096.41,33,Mumbai,Inactive,10
537,Engineering,123062.28,28,,On Leave,10
538,Finance,138110.91,32,Kochi,Inactive,21
539,HR,129608.53,25,Bangalore,On Leave,2
540,Marketing,26852.27,30,Bangalore,On Leave,23
541,Support,71310.3,32,Mumbai,Active,29
542,Finance,120598.49,36,Delhi,Active,24
543,Sales,83973.77,22,Mumbai,On Leave,12
544,Sales,79793.06,29,Chennai,On Leave,22
545,HR,140385.56,36,Chennai,Active,3
546,Support,54885.0,43,Mumbai,Active,16
547,Sales,133777.0,46,Mumbai,Inactive,16
548,Sales,64534.03,28,Chennai,Inactive,14
549,Finance,34304.38,50,Bangalore,Active,6
550,HR,,52,Bangalore,Active,16
551,Finance,28059.08,52,Mumbai,On Leave,20
552,HR,106392.03,31,Bangalore,On Leave,1
553,Sales,47715.97,36,Kochi,Inactive,28
554,Engineering,60646.43,30,Bangalore,On Leave,10
555,Marketing,109890.01,22,Chennai,Active,2
556,Support,86512.93,35,Delhi,Active,26
557,Sales,58872.49,42,Chennai,Active,10
558,Sales,121253.82,37,Delhi,On Leave,25
559,Marketing,113966.69,30,Delhi,On Leave,3
560,Support,149809.61,30,Bangalore,Active,5
561,Marketing,81552.33,48,Kochi,On Leave,7
562,Sales,142752.03,48,Mumbai,Inactive,29
563,Engineering,33816.83,33,Chennai,Active,16
564,HR,113211.04,29,Delhi,Inactive,21
565,Engineering,90237.18,57,Chennai,Active,18
566,Finance,111512.45,38,Delhi,Inactive,11
567,Support,112630.01,25,Chennai,Active,21
568,HR,67503.81,33,Bangalore,Active,13
569,Finance,75131.08,30,Delhi,Inactive,23
570,Finance,,36,Delhi,Inactive,3
571,HR,77598.3,26,Kochi,Inactive,30
572,Engineering,119802.5,42,Chennai,On Leave,0
